INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=200, initial_epochs=0, learning_rate=0.001, lstm_layers=1, model='KVAE', save_every=10, scale=1.0, scheduler_step=100, subdirectory='v5', train_reconstruction='True', wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Loaded State Dict from saves/MovingMNIST/kvae/v3/scale=1.0/scheduler_step=5/kvae_state_dict_scale=1.0_39.pth
INFO:root:Starting KVAE training for 200 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:4914.21995435, 4827.69412962, 39.67220623, -46.85359211, 1489.23295142, 0.001
INFO:root:4903.28083623, 4816.04543079, 40.15830639, -47.07710604, 1486.50442720, 0.001
INFO:root:4897.96732774, 4811.36333627, 40.22696756, -46.37703010, 1485.72655906, 0.001
INFO:root:4898.21188957, 4811.90941351, 40.37037498, -45.93204940, 1485.99702389, 0.001
INFO:root:4894.03826194, 4808.27600270, 40.12345747, -45.63879973, 1485.18977463, 0.001
INFO:root:4890.58487104, 4805.73815746, 40.23497321, -44.61175402, 1484.44757166, 0.001
INFO:root:4888.12329492, 4804.68645467, 40.24735684, -43.18949486, 1484.32021622, 0.001
INFO:root:4882.68777517, 4801.13672563, 40.40619584, -41.14486832, 1483.52426276, 0.001
INFO:root:4877.58274566, 4797.48871451, 40.54932688, -39.54471474, 1482.63338331, 0.001
INFO:root:4873.46483505, 4795.15419372, 40.43265743, -37.87798976, 1482.18718537, 0.001
INFO:root:4875.68891357, 4798.56171600, 40.43896995, -36.68822585, 1483.13285720, 0.001
INFO:root:4870.12340547, 4793.75698724, 40.63845841, -35.72796643, 1482.14538058, 0.001
INFO:root:4864.11490605, 4788.67869718, 40.57517866, -34.86102731, 1480.70212093, 0.001
INFO:root:4862.67187971, 4787.60190636, 40.79037443, -34.27959731, 1480.81917604, 0.001
INFO:root:4860.56358772, 4786.10245654, 40.73033104, -33.73077247, 1480.44260288, 0.001
INFO:root:4861.19125395, 4786.54919262, 40.75254548, -33.88949614, 1480.70896890, 0.001
INFO:root:4859.03674626, 4784.35356377, 40.89532105, -33.78788100, 1480.13096081, 0.001
INFO:root:4857.93200271, 4783.06689453, 40.93989901, -33.92520116, 1479.83711694, 0.001
INFO:root:4854.93705020, 4779.77595456, 40.96969615, -34.19139659, 1479.19981019, 0.001
INFO:root:4851.91902690, 4776.51476535, 40.79560594, -34.60865884, 1478.60866149, 0.001
INFO:root:4853.91113509, 4777.60416896, 40.93260419, -35.37434207, 1478.86272248, 0.001
INFO:root:4851.56361855, 4774.62494498, 41.08315906, -35.85553508, 1478.05137957, 0.001
INFO:root:4851.29929087, 4774.31981734, 40.95687619, -36.02256606, 1478.17285844, 0.001
INFO:root:4851.63324363, 4774.06289200, 40.74853709, -36.82178209, 1478.09274249, 0.001
INFO:root:4850.50322208, 4771.64973041, 41.15894737, -37.69453893, 1477.89151044, 0.001
INFO:root:4846.40886599, 4765.98337093, 41.12630065, -39.29919527, 1476.37712506, 0.001
INFO:root:4847.62025704, 4764.92691599, 41.29234599, -41.40099125, 1475.78872208, 0.001
INFO:root:4846.31583316, 4763.03407653, 41.28011983, -42.00162761, 1475.60039510, 0.001
INFO:root:4851.70579970, 4766.36000083, 41.22826509, -44.11757209, 1476.80246444, 0.001
INFO:root:4849.03491149, 4762.43626898, 41.20203088, -45.39665225, 1475.71813105, 0.001
INFO:root:4851.45999688, 4760.87878246, 41.33300744, -49.24821349, 1475.33697252, 0.001
INFO:root:4853.59971790, 4761.91419317, 41.05930645, -50.62620200, 1475.70956722, 0.001
INFO:root:4848.43080341, 4754.70026408, 41.37847331, -52.35205258, 1473.85331275, 0.001
INFO:root:4852.34628875, 4753.04626981, 41.53173076, -57.76832193, 1473.93728853, 0.001
INFO:root:4856.88793361, 4757.65460635, 41.40279673, -57.83054337, 1474.84201007, 0.001
INFO:root:4855.27320075, 4756.37935327, 41.43603881, -57.45782608, 1474.44755447, 0.001
INFO:root:4849.09309453, 4751.03391148, 41.59024730, -56.46892667, 1473.26280363, 0.001
INFO:root:4848.57113410, 4750.17649648, 41.41425538, -56.98036880, 1473.37505330, 0.001
INFO:root:4847.87842194, 4749.85514552, 41.55149793, -56.47181432, 1473.55416827, 0.001
INFO:root:4846.10822746, 4749.75101783, 41.37467983, -54.98253974, 1473.18599733, 0.001
INFO:root:4840.40349401, 4743.17250083, 41.57221136, -55.65881009, 1471.69064804, 0.001
INFO:root:4840.14909665, 4745.85573696, 41.65813376, -52.63521846, 1472.27599926, 0.001
INFO:root:4835.33105230, 4744.31126210, 41.74337838, -49.27642670, 1472.29509552, 0.001
INFO:root:4834.73531908, 4743.66598124, 41.74624666, -49.32310655, 1472.20531195, 0.001
INFO:root:4830.28792894, 4740.32967237, 41.69773505, -48.26053705, 1471.08243013, 0.001
INFO:root:4833.91684820, 4741.85125303, 41.66382427, -50.40179401, 1471.71380013, 0.001
INFO:root:4828.36034691, 4737.00451144, 41.68763502, -49.66819105, 1470.37804832, 0.001
INFO:root:4826.79424368, 4737.08454831, 41.84998053, -47.85971463, 1470.47450106, 0.001
INFO:root:4827.35302062, 4736.95727883, 41.87396170, -48.52180088, 1470.61375062, 0.001
INFO:root:4830.14010413, 4737.11907185, 41.83050247, -51.19054152, 1470.64742999, 0.001
INFO:root:4821.80947749, 4731.19225215, 41.95984714, -48.65738820, 1469.25249299, 0.001
INFO:root:4821.24768395, 4731.31712836, 41.84579989, -48.08476307, 1469.47858955, 0.001
INFO:root:4822.16062867, 4731.22361906, 42.21563807, -48.72136810, 1469.65442926, 0.001
INFO:root:4818.13255939, 4729.41825759, 42.01374118, -46.70056803, 1468.90820141, 0.001
INFO:root:4816.95471277, 4727.89755722, 42.06130965, -46.99588658, 1468.77053532, 0.001
INFO:root:4813.30256525, 4724.28466109, 42.24971852, -46.76817925, 1468.08973543, 0.001
INFO:root:4816.03257263, 4726.00729671, 42.23239120, -47.79288156, 1468.61504697, 0.001
INFO:root:4813.24890283, 4724.05728708, 42.16843103, -47.02318622, 1467.92031216, 0.001
INFO:root:4816.15010594, 4725.49299901, 42.07595814, -48.58118951, 1468.36319013, 0.001
INFO:root:4815.49484504, 4723.38632675, 42.12425748, -49.98428854, 1468.18141540, 0.001
INFO:root:4814.53780420, 4722.23236686, 42.14103054, -50.16445472, 1467.55397055, 0.001
INFO:root:4813.52458289, 4721.98036559, 42.38531220, -49.15889462, 1467.78067919, 0.001
INFO:root:4815.62405441, 4722.35591577, 42.34782582, -50.92028983, 1467.71218227, 0.001
INFO:root:4811.12209010, 4717.15878769, 42.36209058, -51.60121780, 1466.52197609, 0.001
INFO:root:4814.49306296, 4719.69645412, 42.37818463, -52.41844533, 1467.20841873, 0.001
INFO:root:4812.16327328, 4718.98472574, 42.31135022, -50.86720291, 1466.75727264, 0.001
INFO:root:4817.61944055, 4722.50589376, 42.45095116, -52.66258811, 1468.01334349, 0.001
INFO:root:4806.90187736, 4712.67318167, 42.50869509, -51.72000291, 1465.57705044, 0.001
INFO:root:4809.41754129, 4715.80320890, 42.53199892, -51.08233278, 1466.44791036, 0.001
INFO:root:4806.89798048, 4712.24446385, 42.65237792, -52.00114536, 1465.46444487, 0.001
INFO:root:4806.67272079, 4709.98835002, 42.52521176, -54.15917958, 1464.89062844, 0.001
INFO:root:4808.77024528, 4711.80815361, 42.66663393, -54.29545022, 1465.42957575, 0.001
INFO:root:4807.17474903, 4710.20122002, 42.61971025, -54.35380382, 1465.43235757, 0.001
INFO:root:4808.76039852, 4711.03329253, 42.62536836, -55.10170711, 1465.17882613, 0.001
INFO:root:4805.67162895, 4706.97603296, 42.83494734, -55.86065569, 1464.71061427, 0.001
INFO:root:4814.45291529, 4714.16550671, 42.76092938, -57.52648071, 1465.90628439, 0.001
INFO:root:4810.99156882, 4712.11690553, 42.54716099, -56.32750632, 1465.60043980, 0.001
INFO:root:4811.23641991, 4713.44828345, 42.64020001, -55.14793097, 1465.68272722, 0.001
INFO:root:4808.41225828, 4710.32674956, 42.90079724, -55.18470546, 1465.09970050, 0.001
